,url,title,author,num_ratings,avg_rating,minmax_norm_ratings,mean_norm_ratings,num_pages,original_publish_year,series,genres,awards,places
852,https://www.goodreads.com/book/show/270730.Crank,"Crank (Crank, #1)",Ellen Hopkins,133550.0,4.16,5.3,1.47,537.0,2004,1,"Young Adult, Poetry, Fiction","Soaring Eagle Book Award (2008), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2011), Lincoln Award (2009), Goldener Lufti (2012), Green Mountain Book Award (2009)   Missouri Gateway Readers Award (2007)",United States
853,https://www.goodreads.com/book/show/18839.Orlando,Orlando,Virginia Woolf,71864.0,3.86,3.55,-0.27,336.0,1928,None,"Classics, Fiction, Historical > Historical Fiction",None,United Kingdom
854,https://www.goodreads.com/book/show/3063499-the-lucky-one,The Lucky One,Nicholas Sparks,341936.0,4.12,5.06,1.24,326.0,2007,0,"Romance, Fiction, Womens Fiction > Chick Lit",No Award,United States
855,https://www.goodreads.com/book/show/307791.The_City_of_Ember,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,263478.0,3.88,3.67,-0.16,270.0,2003,1,"Young Adult, Science Fiction > Dystopia, Fantasy, ","California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Vermont Golden Dome Book Award Nominee (2005), Child Magazine Best Book of the Year   Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)",None
856,https://www.goodreads.com/book/show/5168.Where_the_Heart_Is,Where the Heart Is,Billie Letts,243181.0,4.03,4.54,0.72,376.0,1995,0,"Fiction, Womens Fiction > Chick LitRomance",Eliot Rosewater Indiana High School Book Award (2000),United States
857,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court,A Connecticut Yankee in King Arthur's Court,Mark Twain,99566.0,3.77,3.03,-0.79,480.0,1889,0,"Classics, Fiction, Fantasy, ",No Award,United Kingdom
858,https://www.goodreads.com/book/show/5886881-dark-places,Dark Places,Gillian Flynn,650600.0,3.94,4.02,0.19,349.0,2009,None,"Mystery, Fiction, Thriller, ",None,United States
859,https://www.goodreads.com/book/show/40496.How_Green_Was_My_Valley,How Green Was My Valley,Richard Llewellyn,15774.0,4.19,5.47,1.64,448.0,1939,0,ClassicsFictionHistorical > Historical Fiction,National Book Award for Fiction (1940),United Kingdom
860,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,372507.0,4.06,4.72,0.89,397.0,1998,1,None,No Award,United States
861,https://www.goodreads.com/book/show/13362536-opal,"Opal (Lux, #3)",Jennifer L. Armentrout,140726.0,4.26,5.88,2.05,394.0,2012,1,"Young Adult, Fantasy > Paranormal, Romance, ",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),United States
862,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,342329.0,4.37,6.52,2.69,590.0,2007,1,"Fantasy, Fiction, Fantasy > Epic Fantasy",No Award,None
863,https://www.goodreads.com/book/show/44652.Fablehaven,"Fablehaven (Fablehaven, #1)",Brandon Mull,147626.0,4.11,5.01,1.18,351.0,2006,1,"Fantasy, Young Adult, Childrens > Middle Grade","Utah Best of State for Literary Arts - Fiction (2010), AML Award for Young Adult Literature (2006), Rebecca Caudill Young Readers' Book Award Nominee (2011)",United States
864,https://www.goodreads.com/book/show/321552.The_Agony_and_the_Ecstasy,The Agony and the Ecstasy,Irving Stone,85868.0,4.07,4.77,0.95,776.0,1958,0,"Historical > Historical Fiction, FictionArt",California Book Award for Fiction (Silver) (1961),Italy
